Timestamp,Location,Family member,Age,Male members,Female members,Building age,Land size,Male guest room,Female guest room,Living room,Outside room,,total family members ,,,,
2019/05/22 11:34:46 am GMT-6,3.00,1.00,36.00,4.00,5.00,2008.00,390.00,5.00,10.00,360.00,250.00,,9.00,,,,
2019/05/22 11:49:40 am GMT-6,5.00,1.00,36.00,4.00,2.00,2013.00,250.00,0.00,6.00,360.00,0.00,,6.00,,,,
2019/05/22 12:59:40 pm GMT-6,4.00,1.00,36.00,1.00,3.00,2001.00,300.00,15.00,60.00,360.00,200.00,,4.00,,,,
2019/05/22 3:18:38 pm GMT-6,2.00,1.00,36.00,4.00,1.00,2017.00,200.00,5.00,40.00,360.00,100.00,,5.00,,,,
2019/05/22 6:21:51 pm GMT-6,4.00,1.00,36.00,3.00,2.00,2013.00,288.00,2.00,5.00,360.00,0.00,,5.00,,,,
2019/05/22 6:46:21 pm GMT-6,2.00,3.00,36.00,1.00,1.00,2012.00,985.00,20.00,0.00,360.00,300.00,,2.00,,,,
2019/05/24 12:17:20 pm GMT-6,2.00,2.00,36.00,4.00,5.00,2013.00,500.00,10.00,10.00,360.00,5.00,,9.00,,,,
2019/05/24 5:51:06 pm GMT-6,1.00,1.00,36.00,3.00,4.00,2017.00,866.00,11.00,50.00,360.00,360.00,,7.00,,,,
2019/05/24 6:00:27 pm GMT-6,4.00,2.00,36.00,3.00,3.00,2017.00,400.00,30.00,20.00,250.00,360.00,,6.00,,,,
2019/05/24 6:36:01 pm GMT-6,3.00,2.00,36.00,3.00,1.00,1990.00,400.00,5.00,8.00,360.00,0.00,,4.00,,,,
2019/05/24 7:24:15 pm GMT-6,3.00,3.00,36.00,7.00,5.00,2017.00,300.00,30.00,100.00,360.00,360.00,,12.00,,,,
2019/05/24 8:36:01 pm GMT-6,4.00,2.00,36.00,3.00,5.00,2013.00,300.00,4.00,12.00,360.00,0.00,,8.00,,,,
2019/05/22 1:57:00 pm GMT-6,3.00,1.00,37.00,1.00,1.00,1994.00,600.00,3.00,3.00,360.00,180.00,,2.00,,,,
2019/05/24 11:39:18 am GMT-6,2.00,2.00,37.00,1.00,3.00,2018.00,375.00,12.00,0.00,300.00,300.00,,4.00,,,,
2019/05/24 12:33:18 pm GMT-6,2.00,1.00,37.00,4.00,2.00,2009.00,150.00,1.00,0.00,360.00,0.00,,6.00,,,,
2019/05/24 1:20:37 pm GMT-6,4.00,1.00,37.00,4.00,1.00,1982.00,450.00,6.00,6.00,360.00,100.00,,5.00,,,,
2019/05/24 5:55:45 pm GMT-6,1.00,1.00,37.00,4.00,1.00,2008.00,1500.00,44.00,60.00,360.00,360.00,,5.00,,,,
2019/05/24 7:09:41 pm GMT-6,2.00,1.00,37.00,3.00,1.00,2018.00,420.00,2.00,6.00,360.00,0.00,,4.00,,,,
2019/05/22 1:34:36 pm GMT-6,2.00,2.00,38.00,4.00,2.00,2016.00,315.00,200.00,0.00,200.00,0.00,,6.00,,,,
2019/05/22 6:38:26 pm GMT-6,2.00,1.00,38.00,2.00,1.00,2016.00,500.00,25.00,270.00,360.00,150.00,,3.00,,,,
2019/05/24 12:47:57 pm GMT-6,4.00,1.00,38.00,3.00,4.00,1985.00,3000.00,100.00,50.00,360.00,360.00,,7.00,,,,
2019/05/24 4:28:19 pm GMT-6,3.00,2.00,38.00,3.00,3.00,2015.00,400.00,0.00,20.00,360.00,360.00,,6.00,,,,
2019/05/24 5:53:51 pm GMT-6,2.00,3.00,38.00,1.00,3.00,2010.00,400.00,9.00,0.00,360.00,0.00,,4.00,,,,
2019/05/27 9:05:37 pm GMT-6,5.00,1.00,38.00,3.00,2.00,2018.00,600.00,23.00,16.00,360.00,360.00,,5.00,,,,
2019/05/22 12:15:12 pm GMT-6,5.00,4.00,39.00,4.00,1.00,2017.00,350.00,30.00,20.00,300.00,360.00,,5.00,,,,
2019/05/22 2:09:21 pm GMT-6,2.00,1.00,39.00,3.00,2.00,2015.00,800.00,20.00,10.00,360.00,0.00,,5.00,,,,
2019/05/24 12:55:16 pm GMT-6,2.00,2.00,39.00,4.00,3.00,2016.00,560.00,8.00,0.00,40.00,50.00,,7.00,,,,
2019/05/24 2:08:59 pm GMT-6,2.00,1.00,39.00,5.00,1.00,2014.00,450.00,5.00,0.00,360.00,20.00,,6.00,,,,
2019/05/24 6:13:59 pm GMT-6,2.00,1.00,39.00,3.00,1.00,2016.00,300.00,6.00,2.00,360.00,360.00,,4.00,,,,
2019/05/24 7:01:26 pm GMT-6,1.00,4.00,39.00,1.00,1.00,2010.00,7000.00,22.00,30.00,360.00,15.00,,2.00,,,,
2019/05/24 8:01:32 pm GMT-6,2.00,2.00,39.00,7.00,5.00,1997.00,1000.00,100.00,300.00,250.00,360.00,,12.00,,,,
2019/05/24 9:33:24 pm GMT-6,4.00,1.00,39.00,1.00,2.00,2015.00,390.00,3.00,1.00,100.00,360.00,,3.00,,,,
2019/05/24 10:53:11 pm GMT-6,3.00,1.00,39.00,2.00,3.00,2009.00,375.00,5.00,0.00,3.00,0.00,,5.00,,,,
2019/05/25 8:19:18 am GMT-6,2.00,1.00,39.00,2.00,3.00,2011.00,500.00,360.00,1.00,360.00,0.00,,5.00,,,,
2019/05/25 5:50:56 pm GMT-6,4.00,1.00,39.00,3.00,2.00,2004.00,750.00,20.00,0.00,360.00,360.00,,5.00,,,,
2019/05/22 12:17:04 pm GMT-6,2.00,2.00,40.00,4.00,2.00,2011.00,300.00,1.00,0.00,10.00,0.00,,6.00,,,,
2019/05/22 12:44:37 pm GMT-6,1.00,1.00,40.00,1.00,2.00,1991.00,648.00,4.00,4.00,360.00,0.00,,3.00,,,,
2019/05/22 2:20:41 pm GMT-6,2.00,2.00,40.00,5.00,2.00,2010.00,350.00,100.00,200.00,360.00,360.00,,7.00,,,,
2019/05/22 3:00:41 pm GMT-6,3.00,2.00,40.00,4.00,2.00,1994.00,500.00,52.00,12.00,360.00,360.00,,6.00,,,,
2019/05/22 3:07:37 pm GMT-6,4.00,1.00,40.00,3.00,4.00,2008.00,600.00,45.00,20.00,360.00,200.00,,7.00,,,,
2019/05/22 6:01:37 pm GMT-6,2.00,1.00,40.00,3.00,2.00,2004.00,350.00,20.00,5.00,360.00,0.00,,5.00,,,,
2019/05/22 6:43:37 pm GMT-6,1.00,1.00,40.00,3.00,3.00,1983.00,450.00,3.00,5.00,7.00,20.00,,6.00,,,,
